case_id,mode,prompt_version,reviewer,claims_total,claims_supported,faithfulness_0_1,relevancy_1_5,category_correct,citation_supports_recommendation,notes
T01,ollama,v2,,,,,,,,,
T02,ollama,v2,,,,,,,,,
T03,ollama,v2,,,,,,,,,
T04,ollama,v2,,,,,,,,,
T05,ollama,v2,,,,,,,,,
T06,ollama,v2,,,,,,,,,
T07,ollama,v2,,,,,,,,,
T08,ollama,v2,,,,,,,,,
T09,ollama,v2,,,,,,,,,
T10,ollama,v2,,,,,,,,,
T11,ollama,v2,,,,,,,,,
T12,ollama,v2,,,,,,,,,
T13,ollama,v2,,,,,,,,,
T14,ollama,v2,,,,,,,,,
T15,ollama,v2,,,,,,,,,
T16,ollama,v2,,,,,,,,,
T17,ollama,v2,,,,,,,,,
T18,ollama,v2,,,,,,,,,
T19,ollama,v2,,,,,,,,,
T20,ollama,v2,,,,,,,,,
